Prioridade,Orçamento,Natureza,Tribunal de Origem,Autos do precatório,Valor Deferido,Situação,Local,Regime
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731283703667,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731283734478,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731283782787,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731290181086,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731290256703,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731290455945,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731290828088,Indefinido
Normal,2019,Comum,TJSC,0004093-44.2017.8.16.7000,158150.15,Pagamento em Processamento,OrdemCronologica_1731291113139,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731291352990,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731291681770,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731291894447,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292195533,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292305607,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292553832,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292636782,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292653050,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292671132,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731292742808,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731293025223,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731293081453,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731293749827,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731294450210,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731294672156,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731295646402,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,OrdemCronologica_1731296296918,Indefinido
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,PARANACITY - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,RAMILÂNDIA - Regime geral (Art. 100 CF),Geral
Normal,2019,Comum,TJSC,0004093-44.2017.8.16.7000,158150.15,Pagamento em Processamento,SALTO DO ITARARÉ - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,SECRETARIA DE ESTADO DO ESPORTE E DO TURISMO - SEET - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,SENGÉS - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE KALORÉ - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,TAMARANA - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,TAPIRA - Regime geral (Art. 100 CF),Geral
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DE MARINGÁ - UEM - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DE PONTA GROSSA - UEPG - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO CENTRO OESTE - UNICENTRO - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ - CAMPUS CORNÉLIO PROCÓPIO - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ - CAMPUS JACAREZINHO - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - CAMPUS CASCAVEL - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - CAMPUS DE FOZ DO IGUAÇU - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ - UNIOESTE - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO PARANÁ - UNESPAR - CAMPUS CAMPO MOURÃO - Regime especial (Art. 101 ADCT),Especial
Normal,2026,Comum,TJSC,0009789-17.2024.8.16.7000,103780.91,Suspenso,UNIVERSIDADE ESTADUAL DO TOCANTINS - UNITINS (TO) - Regime geral (Art. 100 CF),Geral
Normal,2024,Comum,TJSC,5051920-16.2022.8.24.0000,407665.35,Indefinido,Agência_Goiana_de_Infraestrutura_e_Transportes_Geral,Geral
Normal,2025,Alimentar,TJSC,5044468-18.2023.8.24.0000,158540.61,Indefinido,DEPARTAMENTO_AUTÔNOMO_DE_ESTRADAS_DE_RODAGEM_-_DAER_-_RS_Geral,Geral
Normal,2025,Comum,TJSC,5044463-93.2023.8.24.0000,142082.07,Indefinido,DEPARTAMENTO_AUTÔNOMO_DE_ESTRADAS_DE_RODAGEM_-_DAER_-_RS_Geral,Geral
Normal,2025,Comum,TJSC,5044465-63.2023.8.24.0000,125605.96,Indefinido,DEPARTAMENTO_AUTÔNOMO_DE_ESTRADAS_DE_RODAGEM_-_DAER_-_RS_Geral,Geral
Normal,2025,Comum,TJSC,5044466-48.2023.8.24.0000,125605.96,Indefinido,DEPARTAMENTO_AUTÔNOMO_DE_ESTRADAS_DE_RODAGEM_-_DAER_-_RS_Geral,Geral
Normal,2025,Comum,TJSC,5022497-74.2023.8.24.0000,119207.13,Indefinido,EMASA_-_Empresa_Municipal_de_Água_e_Saneamento_de_Balneário_Camboriú_Geral,Geral
Normal,2026,Comum,TJSC,5081137-36.2024.8.24.0000,117055.49,Indefinido,EMASA_-_Empresa_Municipal_de_Água_e_Saneamento_de_Balneário_Camboriú_Geral,Geral
Normal,2022,Alimentar,TJSC,5018604-46.2021.8.24.0000,474244.25,Indefinido,Estado_da_Bahia_Geral.xlsx,Geral
Normal,2022,Comum,TJSC,5018605-31.2021.8.24.0000,1843599.02,Indefinido,Estado_da_Bahia_Geral.xlsx,Geral
Normal,2022,Comum,TJSC,5034129-68.2021.8.24.0000,157621.26,Indefinido,Estado_de_Goiás_Geral,Geral
Normal,2022,Comum,TJSC,5028979-09.2021.8.24.0000,221188.14,Indefinido,Estado_de_Minas_Gerais_Especial,Especial
Normal,2024,Alimentar,TJSC,5071534-07.2022.8.24.0000,1141788.46,Indefinido,Estado_de_Minas_Gerais_Especial,Especial
Normal,2024,Comum,TJSC,5071533-22.2022.8.24.0000,5599617.74,Indefinido,Estado_de_Minas_Gerais_Especial,Especial
Normal,2026,Comum,TJSC,5059424-05.2024.8.24.0000,109330.84,Indefinido,Estado_de_Rondônia_Geral,Geral
Normal,2024,Comum,TJSC,5016524-41.2023.8.24.0000,155207.9,Indefinido,Estado_de_São_Paulo_Geral,Geral
Normal,2026,Comum,TJSC,5062412-96.2024.8.24.0000,120492.18,Indefinido,Estado_do_Paraná_Geral,Geral
Normal,2024,Comum,TJSC,5019813-79.2023.8.24.0000,148615.97,Indefinido,Estado_do_Rio_de_Janeiro_Geral,Geral
Normal,2026,Comum,TJSC,5069801-35.2024.8.24.0000,120182.56,Indefinido,Fundação_Hospitalar_Dr._José_Athanázio_Geral,Geral
Normal,2026,Comum,TJSC,5054991-55.2024.8.24.0000,104679.71,Indefinido,Hospital_Municipal_Santo_Antonio_-_Guaramirim_Geral,Geral
Normal,2026,Comum,TJSC,5054992-40.2024.8.24.0000,104679.71,Indefinido,Hospital_Municipal_Santo_Antonio_-_Guaramirim_Geral,Geral
Normal,2026,Comum,TJSC,5054993-25.2024.8.24.0000,104679.72,Indefinido,Hospital_Municipal_Santo_Antonio_-_Guaramirim_Geral,Geral
